"Geographic code","Geographic name","Geographic type","Geographic name, Province or territory","Geographic code, Province or territory","Global non-response rate","Data quality flag","Income source","Sex","Total population 15 years and over, 2006","Total population 15 years and over, 2016","Number of income recipients, 2005","Number of income recipients, 2015","Median amount (2015 constant dollars), 2005","Median amount (2015 constant dollars), 2015","Median amount (2015 constant dollars), % change"
"4621","Division No. 21","Census division","Manitoba","46",10.4,"01100","Employment income","Females",8055,8170,5385,5460,21255,28448,33.8
"4622","Division No. 22","Census division","Manitoba","46",9.1,"00100","Total income","Both sexes",25530,28030,23980,25415,18271,22203,21.5
"4622","Division No. 22","Census division","Manitoba","46",9.1,"00100","Total income","Males",12965,14155,12200,12745,19485,22285,14.4
"4622","Division No. 22","Census division","Manitoba","46",9.1,"00100","Total income","Females",12565,13875,11775,12670,17312,22153,28.0
"4622","Division No. 22","Census division","Manitoba","46",9.1,"00100","After-tax income","Both sexes",25530,28030,23980,25415,18053,21660,20.0
"4622","Division No. 22","Census division","Manitoba","46",9.1,"00100","After-tax income","Males",12965,14155,12205,12745,19025,21643,13.8
"4622","Division No. 22","Census division","Manitoba","46",9.1,"00100","After-tax income","Females",12565,13875,11780,12675,17104,21671,26.7
"4622","Division No. 22","Census division","Manitoba","46",9.1,"00100","Employment income","Both sexes",25530,28030,15880,16970,24614,28234,14.7
"4622","Division No. 22","Census division","Manitoba","46",9.1,"00100","Employment income","Males",12965,14155,8505,8985,28408,30745,8.2
"4622","Division No. 22","Census division","Manitoba","46",9.1,"00100","Employment income","Females",12565,13875,7370,7985,22150,26068,17.7
"4623","Division No. 23","Census division","Manitoba","46",10.4,"01200","Total income","Both sexes",5400,5995,5035,5465,17587,19182,9.1
"4623","Division No. 23","Census division","Manitoba","46",10.4,"01200","Total income","Males",2800,3055,2620,2765,17626,18357,4.1
"4623","Division No. 23","Census division","Manitoba","46",10.4,"01200","Total income","Females",2595,2940,2415,2695,17552,19878,13.3
"4623","Division No. 23","Census division","Manitoba","46",10.4,"01200","After-tax income","Both sexes",5400,5995,5035,5465,17128,18958,10.7
"4623","Division No. 23","Census division","Manitoba","46",10.4,"01200","After-tax income","Males",2800,3055,2620,2765,17286,18064,4.5
"4623","Division No. 23","Census division","Manitoba","46",10.4,"01200","After-tax income","Females",2595,2940,2415,2700,17001,19568,15.1
"4623","Division No. 23","Census division","Manitoba","46",10.4,"01200","Employment income","Both sexes",5400,5995,3350,3625,22164,22696,2.4
"4623","Division No. 23","Census division","Manitoba","46",10.4,"01200","Employment income","Males",2800,3055,1835,1975,25677,23392,-8.9
"4623","Division No. 23","Census division","Manitoba","46",10.4,"01200","Employment income","Females",2595,2940,1515,1655,19126,21888,14.4
"4701","Division No.  1","Census division","Saskatchewan","47",4.6,"00000","Total income","Both sexes",22990,24990,22145,24170,28931,43233,49.4
"4701","Division No.  1","Census division","Saskatchewan","47",4.6,"00000","Total income","Males",11655,12890,11370,12560,41251,58880,42.7
"4701","Division No.  1","Census division","Saskatchewan","47",4.6,"00000","Total income","Females",11330,12105,10780,11605,21374,31512,47.4
"4701","Division No.  1","Census division","Saskatchewan","47",4.6,"00000","After-tax income","Both sexes",22990,24990,22145,24170,26411,38272,44.9
"4701","Division No.  1","Census division","Saskatchewan","47",4.6,"00000","After-tax income","Males",11655,12890,11370,12560,35902,49097,36.8
"4701","Division No.  1","Census division","Saskatchewan","47",4.6,"00000","After-tax income","Females",11330,12105,10770,11610,20347,29138,43.2
"4701","Division No.  1","Census division","Saskatchewan","47",4.6,"00000","Employment income","Both sexes",22990,24990,17400,19915,27828,39308,41.3
"4701","Division No.  1","Census division","Saskatchewan","47",4.6,"00000","Employment income","Males",11655,12890,9610,10935,40972,56282,37.4
"4701","Division No.  1","Census division","Saskatchewan","47",4.6,"00000","Employment income","Females",11330,12105,7790,8980,19259,26875,39.5
"4702","Division No.  2","Census division","Saskatchewan","47",4.0,"00000","Total income","Both sexes",16260,17830,15685,17280,28821,40459,40.4
"4702","Division No.  2","Census division","Saskatchewan","47",4.0,"00000","Total income","Males",8140,8925,7875,8690,35423,50432,42.4
"4702","Division No.  2","Census division","Saskatchewan","47",4.0,"00000","Total income","Females",8120,8905,7810,8590,24042,32576,35.5
"4702","Division No.  2","Census division","Saskatchewan","47",4.0,"00000","After-tax income","Both sexes",16260,17830,15680,17285,26030,36482,40.2
"4702","Division No.  2","Census division","Saskatchewan","47",4.0,"00000","After-tax income","Males",8140,8925,7865,8690,30951,43535,40.7
"4702","Division No.  2","Census division","Saskatchewan","47",4.0,"00000","After-tax income","Females",8120,8905,7810,8595,22570,29896,32.5
"4702","Division No.  2","Census division","Saskatchewan","47",4.0,"00000","Employment income","Both sexes",16260,17830,12285,13465,23312,35144,50.8
"4702","Division No.  2","Census division","Saskatchewan","47",4.0,"00000","Employment income","Males",8140,8925,6610,7155,28608,45077,57.6
"4702","Division No.  2","Census division","Saskatchewan","47",4.0,"00000","Employment income","Females",8120,8905,5670,6315,19260,27550,43.0
"4703","Division No.  3","Census division","Saskatchewan","47",6.4,"00000","Total income","Both sexes",10420,9935,10055,9655,23519,34802,48.0
"4703","Division No.  3","Census division","Saskatchewan","47",6.4,"00000","Total income","Males",5260,5050,5090,4900,27034,41799,54.6
"4703","Division No.  3","Census division","Saskatchewan","47",6.4,"00000","Total income","Females",5155,4880,4970,4755,20354,29061,42.8
"4703","Division No.  3","Census division","Saskatchewan","47",6.4,"00000","After-tax income","Both sexes",10420,9935,10035,9665,21983,31662,44.0
"4703","Division No.  3","Census division","Saskatchewan","47",6.4,"00000","After-tax income","Males",5260,5050,5075,4905,25268,37214,47.3
"4703","Division No.  3","Census division","Saskatchewan","47",6.4,"00000","After-tax income","Females",5155,4880,4955,4760,19660,27240,38.6
"4703","Division No.  3","Census division","Saskatchewan","47",6.4,"00000","Employment income","Both sexes",10420,9935,7820,7525,17051,29291,71.8
"4703","Division No.  3","Census division","Saskatchewan","47",6.4,"00000","Employment income","Males",5260,5050,4300,4055,18167,34592,90.4
"4703","Division No.  3","Census division","Saskatchewan","47",6.4,"00000","Employment income","Females",5155,4880,3520,3470,16192,24725,52.7
"4704","Division No.  4","Census division","Saskatchewan","47",7.0,"00000","Total income","Both sexes",8015,7765,7730,7565,24374,36207,48.5
"4704","Division No.  4","Census division","Saskatchewan","47",7.0,"00000","Total income","Males",3990,3905,3840,3805,28853,42022,45.6
"4704","Division No.  4","Census division","Saskatchewan","47",7.0,"00000","Total income","Females",4015,3860,3890,3760,21988,31187,41.8
"4704","Division No.  4","Census division","Saskatchewan","47",7.0,"00000","After-tax income","Both sexes",8015,7765,7680,7565,22909,33137,44.6
"4704","Division No.  4","Census division","Saskatchewan","47",7.0,"00000","After-tax income","Males",3990,3905,3820,3805,26512,37205,40.3
"4704","Division No.  4","Census division","Saskatchewan","47",7.0,"00000","After-tax income","Females",4015,3860,3865,3760,20932,28763,37.4
"4704","Division No.  4","Census division","Saskatchewan","47",7.0,"00000","Employment income","Both sexes",8015,7765,6160,6195,19799,28466,43.8
"4704","Division No.  4","Census division","Saskatchewan","47",7.0,"00000","Employment income","Males",3990,3905,3260,3260,22234,33333,49.9
"4704","Division No.  4","Census division","Saskatchewan","47",7.0,"00000","Employment income","Females",4015,3860,2900,2940,17621,24816,40.8
"4705","Division No.  5","Census division","Saskatchewan","47",4.9,"00000","Total income","Both sexes",24495,25300,23615,24455,24252,35594,46.8
"4705","Division No.  5","Census division","Saskatchewan","47",4.9,"00000","Total income","Males",12050,12590,11730,12215,32504,46024,41.6
"4705","Division No.  5","Census division","Saskatchewan","47",4.9,"00000","Total income","Females",12445,12710,11890,12250,19918,27745,39.3
"4705","Division No.  5","Census division","Saskatchewan","47",4.9,"00000","After-tax income","Both sexes",24495,25300,23610,24460,22703,32504,43.2
"4705","Division No.  5","Census division","Saskatchewan","47",4.9,"00000","After-tax income","Males",12050,12590,11725,12215,29233,40735,39.3
"4705","Division No.  5","Census division","Saskatchewan","47",4.9,"00000","After-tax income","Females",12445,12710,11885,12250,19248,26185,36.0
"4705","Division No.  5","Census division","Saskatchewan","47",4.9,"00000","Employment income","Both sexes",24495,25300,17210,18595,22473,33069,47.1
"4705","Division No.  5","Census division","Saskatchewan","47",4.9,"00000","Employment income","Males",12050,12590,9465,10045,28614,43681,52.7
"4705","Division No.  5","Census division","Saskatchewan","47",4.9,"00000","Employment income","Females",12445,12710,7740,8555,18711,25789,37.8
"4706","Division No.  6","Census division","Saskatchewan","47",4.0,"00000","Total income","Both sexes",177270,209475,170310,201455,33553,42616,27.0
"4706","Division No.  6","Census division","Saskatchewan","47",4.0,"00000","Total income","Males",85265,103285,81890,99520,39807,49717,24.9
"4706","Division No.  6","Census division","Saskatchewan","47",4.0,"00000","Total income","Females",92005,106185,88425,101940,28851,36769,27.4
"4706","Division No.  6","Census division","Saskatchewan","47",4.0,"00000","After-tax income","Both sexes",177270,209475,170300,201485,29667,37772,27.3
"4706","Division No.  6","Census division","Saskatchewan","47",4.0,"00000","After-tax income","Males",85265,103285,81870,99530,34108,42928,25.9
"4706","Division No.  6","Census division","Saskatchewan","47",4.0,"00000","After-tax income","Females",92005,106185,88425,101960,26239,33247,26.7
"4706","Division No.  6","Census division","Saskatchewan","47",4.0,"00000","Employment income","Both sexes",177270,209475,133020,158670,33207,42134,26.9
"4706","Division No.  6","Census division","Saskatchewan","47",4.0,"00000","Employment income","Males",85265,103285,67120,81895,38256,49042,28.2
"4706","Division No.  6","Census division","Saskatchewan","47",4.0,"00000","Employment income","Females",92005,106185,65905,76775,29079,36006,23.8
"4707","Division No.  7","Census division","Saskatchewan","47",4.8,"00000","Total income","Both sexes",35750,37050,34175,35820,27999,36771,31.3
"4707","Division No.  7","Census division","Saskatchewan","47",4.8,"00000","Total income","Males",17415,18355,16710,17795,36093,45696,26.6
"4707","Division No.  7","Census division","Saskatchewan","47",4.8,"00000","Total income","Females",18340,18690,17465,18030,22882,29830,30.4
"4707","Division No.  7","Census division","Saskatchewan","47",4.8,"00000","After-tax income","Both sexes",35750,37050,34175,35835,25447,33380,31.2
"4707","Division No.  7","Census division","Saskatchewan","47",4.8,"00000","After-tax income","Males",17415,18355,16695,17795,31832,40225,26.4
"4707","Division No.  7","Census division","Saskatchewan","47",4.8,"00000","After-tax income","Females",18340,18690,17480,18040,21323,27729,30.0
"4707","Division No.  7","Census division","Saskatchewan","47",4.8,"00000","Employment income","Both sexes",35750,37050,25260,27035,25183,34236,35.9
"4707","Division No.  7","Census division","Saskatchewan","47",4.8,"00000","Employment income","Males",17415,18355,13200,14235,32869,43350,31.9
"4707","Division No.  7","Census division","Saskatchewan","47",4.8,"00000","Employment income","Females",18340,18690,12055,12800,20534,27354,33.2
"4708","Division No.  8","Census division","Saskatchewan","47",5.2,"00000","Total income","Both sexes",23045,23860,22405,23340,28958,39693,37.1
"4708","Division No.  8","Census division","Saskatchewan","47",5.2,"00000","Total income","Males",11390,11940,11115,11680,37234,48048,29.0
"4708","Division No.  8","Census division","Saskatchewan","47",5.2,"00000","Total income","Females",11655,11920,11295,11660,23265,32499,39.7
"4708","Division No.  8","Census division","Saskatchewan","47",5.2,"00000","After-tax income","Both sexes",23045,23860,22380,23340,26482,35538,34.2
"4708","Division No.  8","Census division","Saskatchewan","47",5.2,"00000","After-tax income","Males",11390,11940,11100,11680,32504,41891,28.9
"4708","Division No.  8","Census division","Saskatchewan","47",5.2,"00000","After-tax income","Females",11655,11920,11280,11660,21989,30014,36.5
"4708","Division No.  8","Census division","Saskatchewan","47",5.2,"00000","Employment income","Both sexes",23045,23860,17815,18655,24349,35242,44.7
"4708","Division No.  8","Census division","Saskatchewan","47",5.2,"00000","Employment income","Males",11390,11940,9470,9760,31078,43723,40.7
"4708","Division No.  8","Census division","Saskatchewan","47",5.2,"00000","Employment income","Females",11655,11920,8345,8895,19594,27837,42.1
"4709","Division No.  9","Census division","Saskatchewan","47",5.2,"00000","Total income","Both sexes",28315,28490,27265,27525,22617,32084,41.9
"4709","Division No.  9","Census division","Saskatchewan","47",5.2,"00000","Total income","Males",13700,14080,13230,13615,26981,37926,40.6
"4709","Division No.  9","Census division","Saskatchewan","47",5.2,"00000","Total income","Females",14610,14415,14040,13905,19535,27825,42.4
"4709","Division No.  9","Census division","Saskatchewan","47",5.2,"00000","After-tax income","Both sexes",28315,28490,27260,27530,21370,29706,39.0
"4709","Division No.  9","Census division","Saskatchewan","47",5.2,"00000","After-tax income","Males",13700,14080,13230,13615,24995,34196,36.8
"4709","Division No.  9","Census division","Saskatchewan","47",5.2,"00000","After-tax income","Females",14610,14415,14030,13915,19164,26238,36.9
"4709","Division No.  9","Census division","Saskatchewan","47",5.2,"00000","Employment income","Both sexes",28315,28490,19050,20260,21362,30949,44.9
"4709","Division No.  9","Census division","Saskatchewan","47",5.2,"00000","Employment income","Males",13700,14080,10150,10740,23609,35995,52.5
"4709","Division No.  9","Census division","Saskatchewan","47",5.2,"00000","Employment income","Females",14610,14415,8895,9520,19121,27244,42.5
"4710","Division No. 10","Census division","Saskatchewan","47",4.4,"00000","Total income","Both sexes",13795,12975,13190,12350,20576,28747,39.7
"4710","Division No. 10","Census division","Saskatchewan","47",4.4,"00000","Total income","Males",6900,6530,6625,6210,22426,32309,44.1
"4710","Division No. 10","Census division","Saskatchewan","47",4.4,"00000","Total income","Females",6895,6440,6570,6140,19436,25547,31.4
"4710","Division No. 10","Census division","Saskatchewan","47",4.4,"00000","After-tax income","Both sexes",13795,12975,13195,12355,19966,26932,34.9
"4710","Division No. 10","Census division","Saskatchewan","47",4.4,"00000","After-tax income","Males",6900,6530,6620,6215,21826,30053,37.7
"4710","Division No. 10","Census division","Saskatchewan","47",4.4,"00000","After-tax income","Females",6895,6440,6570,6145,18820,24581,30.6
"4710","Division No. 10","Census division","Saskatchewan","47",4.4,"00000","Employment income","Both sexes",13795,12975,9115,8735,18885,26289,39.2
"4710","Division No. 10","Census division","Saskatchewan","47",4.4,"00000","Employment income","Males",6900,6530,4945,4680,18935,28646,51.3
"4710","Division No. 10","Census division","Saskatchewan","47",4.4,"00000","Employment income","Females",6895,6440,4165,4055,18865,24747,31.2
"4711","Division No. 11","Census division","Saskatchewan","47",4.6,"00000","Total income","Both sexes",195610,240010,187215,230755,30365,40367,32.9
"4711","Division No. 11","Census division","Saskatchewan","47",4.6,"00000","Total income","Males",94090,117735,90350,113465,38378,49099,27.9
"4711","Division No. 11","Census division","Saskatchewan","47",4.6,"00000","Total income","Females",101515,122275,96865,117290,24992,33670,34.7
"4711","Division No. 11","Census division","Saskatchewan","47",4.6,"00000","After-tax income","Both sexes",195610,240010,187185,230785,27365,36116,32.0
"4711","Division No. 11","Census division","Saskatchewan","47",4.6,"00000","After-tax income","Males",94090,117735,90325,113470,33260,42561,28.0
"4711","Division No. 11","Census division","Saskatchewan","47",4.6,"00000","After-tax income","Females",101515,122275,96865,117315,23330,30820,32.1
"4711","Division No. 11","Census division","Saskatchewan","47",4.6,"00000","Employment income","Both sexes",195610,240010,147010,183765,29623,38713,30.7
"4711","Division No. 11","Census division","Saskatchewan","47",4.6,"00000","Employment income","Males",94090,117735,75025,94640,37180,47457,27.6
"4711","Division No. 11","Census division","Saskatchewan","47",4.6,"00000","Employment income","Females",101515,122275,71985,89120,23847,31269,31.1
"4712","Division No. 12","Census division","Saskatchewan","47",4.5,"00000","Total income","Both sexes",17175,18245,16425,17495,25983,38125,46.7
"4712","Division No. 12","Census division","Saskatchewan","47",4.5,"00000","Total income","Males",8555,9135,8235,8805,30740,46019,49.7
"4712","Division No. 12","Census division","Saskatchewan","47",4.5,"00000","Total income","Females",8615,9110,8190,8690,21458,31602,47.3
"4712","Division No. 12","Census division","Saskatchewan","47",4.5,"00000","After-tax income","Both sexes",17175,18245,16425,17500,24079,34430,43.0
"4712","Division No. 12","Census division","Saskatchewan","47",4.5,"00000","After-tax income","Males",8555,9135,8230,8805,27252,40553,48.8
"4712","Division No. 12","Census division","Saskatchewan","47",4.5,"00000","After-tax income","Females",8615,9110,8190,8690,20671,29166,41.1
"4712","Division No. 12","Census division","Saskatchewan","47",4.5,"00000","Employment income","Both sexes",17175,18245,12520,13480,23810,33991,42.8
"4712","Division No. 12","Census division","Saskatchewan","47",4.5,"00000","Employment income","Males",8555,9135,6675,7100,27745,41312,48.9
"4712","Division No. 12","Census division","Saskatchewan","47",4.5,"00000","Employment income","Females",8615,9110,5845,6380,20714,28021,35.3
"4713","Division No. 13","Census division","Saskatchewan","47",4.4,"00000","Total income","Both sexes",17180,17650,16570,17035,27812,40344,45.1
"4713","Division No. 13","Census division","Saskatchewan","47",4.4,"00000","Total income","Males",8730,9050,8395,8765,36297,50389,38.8
"4713","Division No. 13","Census division","Saskatchewan","47",4.4,"00000","Total income","Females",8450,8605,8175,8270,22014,31744,44.2
"4713","Division No. 13","Census division","Saskatchewan","47",4.4,"00000","After-tax income","Both sexes",17180,17650,16565,17040,25630,36338,41.8
"4713","Division No. 13","Census division","Saskatchewan","47",4.4,"00000","After-tax income","Males",8730,9050,8390,8765,31882,43832,37.5
"4713","Division No. 13","Census division","Saskatchewan","47",4.4,"00000","After-tax income","Females",8450,8605,8175,8275,20969,29472,40.6
"4713","Division No. 13","Census division","Saskatchewan","47",4.4,"00000","Employment income","Both sexes",17180,17650,13200,13855,23564,33470,42.0
"4713","Division No. 13","Census division","Saskatchewan","47",4.4,"00000","Employment income","Males",8730,9050,7215,7475,30858,43794,41.9
"4713","Division No. 13","Census division","Saskatchewan","47",4.4,"00000","Employment income","Females",8450,8605,5985,6375,16966,25546,50.6
"4714","Division No. 14","Census division","Saskatchewan","47",5.2,"00000","Total income","Both sexes",29005,28780,27965,27805,23604,31852,34.9
"4714","Division No. 14","Census division","Saskatchewan","47",5.2,"00000","Total income","Males",14220,14205,13765,13755,29418,39409,34.0
"4714","Division No. 14","Census division","Saskatchewan","47",5.2,"00000","Total income","Females",14785,14575,14200,14050,19690,26448,34.3
"4714","Division No. 14","Census division","Saskatchewan","47",5.2,"00000","After-tax income","Both sexes",29005,28780,27945,27810,22086,29640,34.2
"4714","Division No. 14","Census division","Saskatchewan","47",5.2,"00000","After-tax income","Males",14220,14205,13755,13755,26639,35476,33.2
"4714","Division No. 14","Census division","Saskatchewan","47",5.2,"00000","After-tax income","Females",14785,14575,14195,14055,19151,25186,31.5
"4714","Division No. 14","Census division","Saskatchewan","47",5.2,"00000","Employment income","Both sexes",29005,28780,20370,20470,21324,28711,34.6
"4714","Division No. 14","Census division","Saskatchewan","47",5.2,"00000","Employment income","Males",14220,14205,10960,10910,24934,35035,40.5
"4714","Division No. 14","Census division","Saskatchewan","47",5.2,"00000","Employment income","Females",14785,14575,9410,9560,18693,24213,29.5
"4715","Division No. 15","Census division","Saskatchewan","47",5.8,"00000","Total income","Both sexes",60325,65125,57235,62240,26169,35922,37.3
"4715","Division No. 15","Census division","Saskatchewan","47",5.8,"00000","Total income","Males",29045,31875,27605,30430,32757,42931,31.1
"4715","Division No. 15","Census division","Saskatchewan","47",5.8,"00000","Total income","Females",31280,33245,29630,31810,22043,30547,38.6
"4715","Division No. 15","Census division","Saskatchewan","47",5.8,"00000","After-tax income","Both sexes",60325,65125,57255,62250,24020,32722,36.2
"4715","Division No. 15","Census division","Saskatchewan","47",5.8,"00000","After-tax income","Males",29045,31875,27615,30430,29076,38179,31.3
"4715","Division No. 15","Census division","Saskatchewan","47",5.8,"00000","After-tax income","Females",31280,33245,29645,31825,21015,28430,35.3
"4715","Division No. 15","Census division","Saskatchewan","47",5.8,"00000","Employment income","Both sexes",60325,65125,42070,46665,25279,34015,34.6
"4715","Division No. 15","Census division","Saskatchewan","47",5.8,"00000","Employment income","Males",29045,31875,21950,24090,29912,40702,36.1
"4715","Division No. 15","Census division","Saskatchewan","47",5.8,"00000","Employment income","Females",31280,33245,20120,22575,21989,28888,31.4
"4716","Division No. 16","Census division","Saskatchewan","47",5.7,"00000","Total income","Both sexes",28045,28850,26610,27375,22602,30137,33.3
"4716","Division No. 16","Census division","Saskatchewan","47",5.7,"00000","Total income","Males",13765,14195,13090,13425,26413,34469,30.5
"4716","Division No. 16","Census division","Saskatchewan","47",5.7,"00000","Total income","Females",14285,14655,13525,13945,20494,27374,33.6
"4716","Division No. 16","Census division","Saskatchewan","47",5.7,"00000","After-tax income","Both sexes",28045,28850,26605,27380,21357,28251,32.3
"4716","Division No. 16","Census division","Saskatchewan","47",5.7,"00000","After-tax income","Males",13765,14195,13090,13430,23933,31699,32.4
"4716","Division No. 16","Census division","Saskatchewan","47",5.7,"00000","After-tax income","Females",14285,14655,13520,13950,19697,25944,31.7
"4716","Division No. 16","Census division","Saskatchewan","47",5.7,"00000","Employment income","Both sexes",28045,28850,18800,19810,22101,28560,29.2
"4716","Division No. 16","Census division","Saskatchewan","47",5.7,"00000","Employment income","Males",13765,14195,10025,10185,25385,32628,28.5
"4716","Division No. 16","Census division","Saskatchewan","47",5.7,"00000","Employment income","Females",14285,14655,8770,9620,19411,25583,31.8
"4717","Division No. 17","Census division","Saskatchewan","47",5.0,"00100","Total income","Both sexes",30230,35645,28680,33605,25917,35436,36.7
"4717","Division No. 17","Census division","Saskatchewan","47",5.0,"00100","Total income","Males",15275,17880,14590,16875,34160,44937,31.5
"4717","Division No. 17","Census division","Saskatchewan","47",5.0,"00100","Total income","Females",14955,17765,14090,16725,20689,28757,39.0
"4717","Division No. 17","Census division","Saskatchewan","47",5.0,"00100","After-tax income","Both sexes",30230,35645,28680,33605,24164,32466,34.4
"4717","Division No. 17","Census division","Saskatchewan","47",5.0,"00100","After-tax income","Males",15275,17880,14595,16875,30574,39715,29.9
"4717","Division No. 17","Census division","Saskatchewan","47",5.0,"00100","After-tax income","Females",14955,17765,14080,16730,19875,27062,36.2
"4717","Division No. 17","Census division","Saskatchewan","47",5.0,"00100","Employment income","Both sexes",30230,35645,21960,26025,26598,33670,26.6
"4717","Division No. 17","Census division","Saskatchewan","47",5.0,"00100","Employment income","Males",15275,17880,12030,13685,35517,44591,25.5
"4717","Division No. 17","Census division","Saskatchewan","47",5.0,"00100","Employment income","Females",14955,17765,9930,12335,20060,26429,31.7
"4718","Division No. 18","Census division","Saskatchewan","47",6.8,"00100","Total income","Both sexes",22355,25295,20405,22695,16092,19930,23.9
"4718","Division No. 18","Census division","Saskatchewan","47",6.8,"00100","Total income","Males",11185,12610,10190,11210,15151,19618,29.5
"4718","Division No. 18","Census division","Saskatchewan","47",6.8,"00100","Total income","Females",11170,12685,10215,11485,16525,20612,24.7
"4718","Division No. 18","Census division","Saskatchewan","47",6.8,"00100","After-tax income","Both sexes",22355,25295,20410,22695,16062,19826,23.4
"4718","Division No. 18","Census division","Saskatchewan","47",6.8,"00100","After-tax income","Males",11185,12610,10195,11210,15048,19525,29.8
"4718","Division No. 18","Census division","Saskatchewan","47",6.8,"00100","After-tax income","Females",11170,12685,10215,11485,16459,20382,23.8
"4718","Division No. 18","Census division","Saskatchewan","47",6.8,"00100","Employment income","Both sexes",22355,25295,11875,13830,21851,25455,16.5
"4718","Division No. 18","Census division","Saskatchewan","47",6.8,"00100","Employment income","Males",11185,12610,6360,7130,23587,27168,15.2
"4718","Division No. 18","Census division","Saskatchewan","47",6.8,"00100","Employment income","Females",11170,12685,5520,6695,20448,23920,17.0
"4801","Division No.  1","Census division","Alberta","48",4.6,"00000","Total income","Both sexes",58390,64455,56735,62020,31096,37182,19.6
"4801","Division No.  1","Census division","Alberta","48",4.6,"00000","Total income","Males",28960,31720,28315,30570,44399,49990,12.6
"4801","Division No.  1","Census division","Alberta","48",4.6,"00000","Total income","Females",29425,32735,28415,31450,22708,28268,24.5
"4801","Division No.  1","Census division","Alberta","48",4.6,"00000","After-tax income","Both sexes",58390,64455,56745,62040,28598,33709,17.9
"4801","Division No.  1","Census division","Alberta","48",4.6,"00000","After-tax income","Males",28960,31720,28320,30575,39124,43789,11.9
"4801","Division No.  1","Census division","Alberta","48",4.6,"00000","After-tax income","Females",29425,32735,28425,31470,21784,26411,21.2
"4801","Division No.  1","Census division","Alberta","48",4.6,"00000","Employment income","Both sexes",58390,64455,44815,47545,31028,34939,12.6
"4801","Division No.  1","Census division","Alberta","48",4.6,"00000","Employment income","Males",28960,31720,23890,24925,44675,47206,5.7
"4801","Division No.  1","Census division","Alberta","48",4.6,"00000","Employment income","Females",29425,32735,20925,22620,21733,26052,19.9
"4802","Division No.  2","Census division","Alberta","48",4.9,"00000","Total income","Both sexes",109185,128390,105375,122695,29698,37195,25.2
"4802","Division No.  2","Census division","Alberta","48",4.9,"00000","Total income","Males",54080,63980,52515,61230,40384,46469,15.1
"4802","Division No.  2","Census division","Alberta","48",4.9,"00000","Total income","Females",55110,64410,52855,61460,22482,29083,29.4
"4802","Division No.  2","Census division","Alberta","48",4.9,"00000","After-tax income","Both sexes",109185,128390,105365,122715,27332,33810,23.7
"4802","Division No.  2","Census division","Alberta","48",4.9,"00000","After-tax income","Males",54080,63980,52515,61235,35411,41067,16.0
"4802","Division No.  2","Census division","Alberta","48",4.9,"00000","After-tax income","Females",55110,64410,52850,61485,21645,27227,25.8
"4802","Division No.  2","Census division","Alberta","48",4.9,"00000","Employment income","Both sexes",109185,128390,83915,96425,29454,35990,22.2
"4802","Division No.  2","Census division","Alberta","48",4.9,"00000","Employment income","Males",54080,63980,44350,50880,39528,44865,13.5
"4802","Division No.  2","Census division","Alberta","48",4.9,"00000","Employment income","Females",55110,64410,39565,45540,21467,27578,28.5
"4803","Division No.  3","Census division","Alberta","48",7.3,"00100","Total income","Both sexes",27045,28160,25975,26550,24724,29346,18.7
"4803","Division No.  3","Census division","Alberta","48",7.3,"00100","Total income","Males",13265,13910,12880,13080,31790,37077,16.6
"4803","Division No.  3","Census division","Alberta","48",7.3,"00100","Total income","Females",13780,14250,13100,13470,20218,24321,20.3
"4803","Division No.  3","Census division","Alberta","48",7.3,"00100","After-tax income","Both sexes",27045,28160,25980,26560,23578,27718,17.6
"4803","Division No.  3","Census division","Alberta","48",7.3,"00100","After-tax income","Males",13265,13910,12870,13085,29766,34288,15.2
"4803","Division No.  3","Census division","Alberta","48",7.3,"00100","After-tax income","Females",13780,14250,13110,13470,19849,23433,18.1
"4803","Division No.  3","Census division","Alberta","48",7.3,"00100","Employment income","Both sexes",27045,28160,18540,18740,24014,27573,14.8
"4803","Division No.  3","Census division","Alberta","48",7.3,"00100","Employment income","Males",13265,13910,9800,9805,31191,35167,12.7
"4803","Division No.  3","Census division","Alberta","48",7.3,"00100","Employment income","Females",13780,14250,8745,8930,18009,22124,22.8
"4804","Division No.  4","Census division","Alberta","48",5.7,"00000","Total income","Both sexes",7860,7155,7660,6895,29607,39172,32.3
"4804","Division No.  4","Census division","Alberta","48",5.7,"00000","Total income","Males",4040,3665,3980,3550,37410,50253,34.3
"4804","Division No.  4","Census division","Alberta","48",5.7,"00000","Total income","Females",3815,3485,3680,3345,24014,31597,31.6
"4804","Division No.  4","Census division","Alberta","48",5.7,"00000","After-tax income","Both sexes",7860,7155,7650,6895,27506,35222,28.1
"4804","Division No.  4","Census division","Alberta","48",5.7,"00000","After-tax income","Males",4040,3665,3975,3550,33021,44006,33.3
"4804","Division No.  4","Census division","Alberta","48",5.7,"00000","After-tax income","Females",3815,3485,3675,3345,22766,29243,28.5
"4804","Division No.  4","Census division","Alberta","48",5.7,"00000","Employment income","Both sexes",7860,7155,6410,5630,26522,33455,26.1
"4804","Division No.  4","Census division","Alberta","48",5.7,"00000","Employment income","Males",4040,3665,3505,3005,32592,43776,34.3
"4804","Division No.  4","Census division","Alberta","48",5.7,"00000","Employment income","Females",3815,3485,2905,2630,21281,26022,22.3
"4805","Division No.  5","Census division","Alberta","48",6.1,"00000","Total income","Both sexes",36680,40570,35380,38710,29328,36760,25.3
